dg_id,player_name,adjusted_course_fit,adjusted_sg_total,salary
14784,"Law, David",-0.03197885797494343,-0.8048309022101132,6700
23733,"LaCroix, Frederic",-0.04699574193242865,-0.8302063058037595,6800
12988,"Elvira Mijares, Ignacio",-0.028426995669050655,-0.8567363078058718,6900
16475,"Forrest, Grant",-0.11680644582110115,-0.8720856054371124,6900
15993,"Hollick, Michael",-0.01465712024266963,-0.8877778901620287,6600
18517,"Soderberg, Sebastian",0.09430831222827193,-0.8979556511264245,6900
14018,"Dantorp, Jens",-0.10484664693280422,-0.9070813704640915,6600
18105,"Lawrence, Thriston",-0.040641635849938365,-0.925965778433764,7200
14973,"Levy, Alexander",-0.1012892052777839,-0.9288386648121358,6700
27149,"Rodrigues, Daniel",0.09126175633395434,-0.9326102285938072,6500
19844,"Kaewkanjana, Sadom",0.1369934872499813,-0.9457960157314577,6400
20448,"Katsuragawa, Yuto",0.01268118584965034,-0.9804986797669636,6600
29712,"Vidal, Quim",0.04435471714842184,-0.9970877999611937,6400
28686,"Jonsson, Tobias",-0.04382573578737264,-1.0046994078086757,6400
20844,"Mazzoli, Stefano",-0.02489952965470926,-1.0100785052610948,6600
10418,"Lemke, Niklas",0.12657589241824396,-1.013011553382177,6600
9396,"Fisher, Ross",-0.003564817664836093,-1.0368147154797747,6600
9842,"Zanotti, Fabrizio",-0.00960446909458536,-1.0417871042486697,6500
23620,"Bergstrom, Albin",0.021978467963522957,-1.044757092197874,6300
16549,"Paratore, Renato",0.058560011768163174,-1.055656417023766,6500
23610,"Crocker, Sean",-0.10161729284961211,-1.0569983132250018,6700
31165,"Townsend, Hugo",0.11880254477972084,-1.077740171348742,6300
11763,"Wu, Ashun",0.08819579413915246,-1.108421314126701,6500
23892,"Gumberg, Jordan",0.04727411718740702,-1.1189804563462238,6400
11397,"Jamieson, Scott",-0.15300241022769695,-1.1381655163102933,6700
12522,"Schneider, Marcel",-0.08595216722563422,-1.1623893762252855,6700
34024,"Adam, Cameron",-0.03701308943865845,-1.1661670094378118,6500
12920,"Willett, Danny",-0.05059109253510062,-1.2437097621102724,6700
19190,"Hoshino, Rikuya",-0.044924400419020745,-1.2495638825754545,6600
12258,"Garcia Rodriguez, Sebastian",0.2710556384972465,-1.2797470883917434,6500
22089,"Syme, Connor",0.03676476552597587,-1.2881134039756434,6700
7457,"Cabrera Bello, Rafa",-0.10489441888607817,-1.2966312775652125,6500
13497,"Lee, K.H.",-0.1001539658047328,-1.3035735175389465,6500
11955,"Frittelli, Dylan",-0.046683361215777305,-1.3284063129731851,6400
20522,"Veerman, Johannes",-0.016925860471990153,-1.3448674234334543,6400
19635,"Cantero Gutierrez, Ivan",-0.04949426757769368,-1.3485750916826391,6400
19908,"Young, Daniel",-0.11073024372093886,-1.3570005028823247,6300
11061,"Morrison, James",0.18852095867421037,-1.3658286909234336,6200
17081,"Sharma, Shubhankar",0.002051267400133508,-1.3794751564303187,6300
15115,"Senior, Jack",-0.07096493446627816,-1.3841422173875724,6300
25890,"Premlall, Yurav",0.04374996057768616,-1.4043386976250394,6200
13498,"Lee, Junghwan",0.0539098457040688,-1.4131893044690276,6200
13344,"Baldwin, Matthew",0.10048977556245602,-1.4320862799288427,6200
7960,"List, Luke",-0.01816728534260137,-1.4391636362869207,6500
6950,"Siem, Marcel",0.017023662853085913,-1.4694443136607898,6400
16897,"Lombard, Zander",0.014306387662562507,-1.4830875117112323,6400
31235,"Repetto Taylor, Rocco",-0.004314951073795992,-1.5045664383101247,6300
18900,"Quayle, Anthony",-0.03588328634814749,-1.592399802112152,6200
25325,"Debove, Quentin",-0.019637576392425863,-1.6375047309057191,6200
26213,"Ko, Jeong Weon",0.05276476977543254,-1.708519961071978,6300
22220,"Charmasson, Clement",-0.02026801539078863,-1.7151736677641831,6100
23236,"Arnaus, Adri",-0.1569375038709205,-1.7472361187893375,6300
26491,"Gough, John",0.006186225261767884,-1.7620010883451807,6200
7033,"Molinari, Edoardo",0.04006489257164694,-1.816657139047109,6200
25614,"Biondi, Fred",-0.03568626497763237,-1.8205098132791702,6100
9133,"Larrazabal, Pablo",-0.10028920108844223,-1.8221587836845508,6200
19224,"Micheluzzi, David",0.1191624712299426,-1.8343965132911801,6100
23060,"Sandhu, Yuvraj Singh",0.03712408439570251,-1.8756931671294792,6100
15169,"Peake, Ryan",0.059946235461418,-1.8913628310898964,6000
27379,"Buchanan, Jack",0.0740678425329285,-1.9044667893577036,6100
21412,"Capan III, Frankie",0.055230438706085794,-2.0102180540695995,6300
32449,"Johnston, Ryggs",0.09936996839796237,-2.042181138204425,6100
27717,"Mjaaseth, Michael",0.019815438633444676,-2.044933063168806,6200
4163,"Donald, Luke",-0.08063936177833222,-2.0922672853722792,6100
15211,"Follet-Smith, Benjamin",-0.06498229092671108,-2.2026490639794565,6100
19429,"Naidoo, Dylan",-0.09634958367688375,-2.237953854682461,6000
24172,"McKinney, Connor",0.11462475267747836,-2.242984359438425,6100
25273,"Toorop, Mike",0.011047282084826015,-2.2647121389894154,6000
19296,"Gallegos, Andres",-0.03653304995689853,-2.5033425343147333,6000
29434,"Smith, Harley",0.005252501438720567,-2.6328141136798284,6100
31520,"Berry, Joshua",-0.3657658960425847,-3.1634332555513804,6000
8262,"Fdez-Castano, Gonzalo",-0.03001222809498237,-3.3942773692452417,6000
12821,"De Jager, Louis",-0.019158151906901243,-3.433759649966464,6000
19121,"McCullen, Haydn",0.0,-3.8246678014125695,6000
18241,"Gavins, Daniel",-0.3804700296450291,-4.262349225853985,6000
23076,"Loft, Jordan",0.0,-4.624071491121167,6000
