dg_id,player_name,course_fit_score,projected_sg_total,salary
27819,"Castillo, Ricky",-0.05551463823582194,0.40373227999959505,6700.0000
17780,"Pendrith, Taylor",-0.04606335756977919,0.3989670270717766,6900.0000
22833,"Echavarria, Nico",0.2120776543980472,0.3743702432582242,6800.0000
16283,"Rodgers, Patrick",0.19504084092299528,0.326242519596044,6400.0000
17538,"Homa, Max",-0.20763305325071282,0.23285615754126815,6900.0000
14704,"Putnam, Andrew",-0.04545018676475499,0.18695639009304654,6400.0000
29770,"Mouw, William",0.02176854155699575,0.15704887389881955,6200.0000
29925,"Yellamaraju, Sudarshan",-0.29683604292437754,0.14779386618441115,7200.0000
24956,"Blanchet, Chandler",0.11559121057869995,0.13030689520676764,6200.0000
20706,"Wallace, Matt",-0.33084820654045355,0.12299728417953915,6600.0000
14502,"Cauley, Bud",-0.17131353324865972,0.1205736226112625,6500.0000
22985,"Smotherman, Austin",-0.15566519571369053,0.09665616389060452,6300.0000
11676,"Finau, Tony",-0.09450610663304596,0.08126344181434496,6600.0000
17543,"Kim, Michael",-0.21831267744487437,0.024181085934843305,6400.0000
26657,"Fisk, Steven",-0.0272850895585989,-0.007312426564928962,6100.0000
24304,"Vilips, Karl",0.11729311197190849,-0.20517863581959941,6100.0000
15980,"Lipsky, David",-0.04671858533378298,-0.2587632798511072,6000.0000
13508,"Vegas, Jhonattan",0.05380120558758323,-0.3312163324284136,6000.0000
11276,"Horschel, Billy",-0.18647144834545634,-0.36961590913961473,6600.0000
24342,"Higgo, Garrick",-0.03336659815746256,-0.3836046773563103,6100.0000
7399,"Glover, Lucas",-0.012122048297900513,-0.49613282960466987,6200.0000
18628,"Campbell, Brian",0.20812416355338487,-0.5112266493808657,6000.0000
27900,"Potgieter, Aldrich",-0.3908108251177512,-0.7708093070945543,6100.0000
15575,"Hoge, Tom",-0.24347477224076775,-0.920493386926175,6200.0000
19477,"Schenk, Adam",-0.02919755700212799,-0.929083274900645,6000.0000
28469,"Highsmith, Joe",-0.15965851139627285,-1.0467308852060488,6000.0000
