predictor_course_name,predictor_skill,avg_r,avg_weighted_score,avg_r_squared,years_observed,years_strong,pct_years_positive,avg_shared_players,decay_lift,last_played,tournament,as_of_date
Golf Club of Houston,sg_total,0.005,0.0137,0.0123,12,3,0.417,70.3333,0.0,2018-04-01,The Memorial,2026-06-04
PGA National Resort (The Champion),sg_app,0.0136,0.0135,0.014,17,3,0.588,69.6471,0.0,2023-02-26,The Memorial,2026-06-04
Innisbrook Resort and Golf Club - Copperhead Course,sg_ott,0.0169,0.0129,0.0157,18,3,0.667,70.8333,0.0,2025-03-23,The Memorial,2026-06-04
TPC Scottsdale (Stadium Course),sg_total,0.0164,0.0128,0.0157,20,3,0.55,74.55,0.0,2025-02-09,The Memorial,2026-06-04
La Quinta Country Club,sg_putt,0.0028,0.0128,0.0746,18,4,0.389,19.2778,0.0,2025-01-19,The Memorial,2026-06-04
Monterey Peninsula CC,sg_ott,0.0458,0.0126,0.0889,12,4,0.75,16.9167,0.0,2023-02-05,The Memorial,2026-06-04
Plantation Course at Kapalua,sg_arg,0.0238,0.0116,0.0197,18,2,0.5,25.3889,0.0,2025-01-05,The Memorial,2026-06-04
Colonial Country Club,sg_putt,0.0118,0.0116,0.0267,20,5,0.5,72.9,0.0,2025-05-25,The Memorial,2026-06-04
TPC Sawgrass - THE PLAYERS Stadium Course,sg_arg,0.0123,0.0112,0.008,21,2,0.524,90.3333,0.0,2025-03-16,The Memorial,2026-06-04
Arnold Palmer's Bay Hill Club & Lodge,sg_total,0.0094,0.0107,0.008,21,2,0.524,76.2857,0.0,2025-03-09,The Memorial,2026-06-04
TPC San Antonio - The Oaks Course,sg_arg,0.0127,0.0104,0.0169,15,3,0.6,58.7333,0.0,2025-04-06,The Memorial,2026-06-04
PGA National Resort (The Champion),sg_total,0.0231,0.0103,0.0152,17,3,0.647,69.6471,0.0,2023-02-26,The Memorial,2026-06-04
The Riviera Country Club,sg_app,0.0038,0.0094,0.0115,19,2,0.421,80.1579,0.0,2024-02-18,The Memorial,2026-06-04
Augusta National Golf Club,sg_app,0.0047,0.0088,0.0159,5,1,0.4,50.6,0.0,2025-04-13,The Memorial,2026-06-04
La Quinta Country Club,sg_ott,-0.0222,0.0087,0.0558,18,4,0.278,19.2778,0.0,2025-01-19,The Memorial,2026-06-04
Vidanta Vallarta,sg_putt,-0.0077,0.0073,0.0118,4,0,0.5,28.75,0.0,2025-02-23,The Memorial,2026-06-04
PGA National Resort (The Champion),sg_putt,0.0142,0.0072,0.0126,17,2,0.588,69.6471,0.0,2023-02-26,The Memorial,2026-06-04
Torrey Pines Golf Course (South Course),sg_total,0.0016,0.006,0.024,20,4,0.5,44.0,0.0,2025-02-16,The Memorial,2026-06-04
Augusta National Golf Club,sg_ott,-0.0111,0.0056,0.0075,5,1,0.2,50.6,0.0,2025-04-13,The Memorial,2026-06-04
TPC Louisiana,sg_arg,0.0091,0.004,0.0011,2,0,0.5,46.0,0.0,2025-04-27,The Memorial,2026-06-04
Arnold Palmer's Bay Hill Club & Lodge,sg_putt,0.0091,0.004,0.0105,21,3,0.524,76.2857,0.0,2025-03-09,The Memorial,2026-06-04
Quail Hollow Club,sg_putt,0.0177,0.0036,0.027,12,3,0.667,83.5,0.0,2024-05-12,The Memorial,2026-06-04
TPC San Antonio - The Oaks Course,sg_putt,0.0133,0.0033,0.0164,15,1,0.6,58.7333,0.0,2025-04-06,The Memorial,2026-06-04
TPC Four Seasons Resort,sg_putt,0.0101,0.0027,0.0186,13,2,0.538,53.7692,0.0,2017-05-21,The Memorial,2026-06-04
Quail Hollow Club,sg_app,0.0132,0.0025,0.0166,12,1,0.583,83.5,0.0,2024-05-12,The Memorial,2026-06-04
Innisbrook Resort and Golf Club - Copperhead Course,sg_total,0.0115,0.0021,0.0148,18,3,0.611,70.8333,0.0,2025-03-23,The Memorial,2026-06-04
TPC Craig Ranch,sg_putt,0.0051,0.0021,0.0142,2,0,0.5,55.5,0.0,2025-05-04,The Memorial,2026-06-04
