rank,player_name,dg_id,lead_in_z,lead_in_raw,predictors_found,top_course,tournament,as_of_date
82,"Li, Haotong",15310,-0.204,-0.0032,2,Dunes Golf and Beach Club,Charles Schwab Challenge,2026-05-28
83,"Chatfield, Davis",30620,-0.277,-0.0194,2,TPC Louisiana,Charles Schwab Challenge,2026-05-28
84,"Thompson, Davis",27364,-0.297,-0.0239,3,TPC Louisiana,Charles Schwab Challenge,2026-05-28
85,"Kim, Michael",17543,-0.299,-0.0243,1,Quail Hollow Club,Charles Schwab Challenge,2026-05-28
86,"VanDerLaan, John",25319,-0.312,-0.0271,2,Dunes Golf and Beach Club,Charles Schwab Challenge,2026-05-28
87,"Svensson, Adam",13997,-0.318,-0.0285,4,Sawgrass Country Club,Charles Schwab Challenge,2026-05-28
88,"Brennan, Michael",29197,-0.321,-0.0291,1,TPC Louisiana,Charles Schwab Challenge,2026-05-28
89,"Bezuidenhout, Christiaan",18103,-0.322,-0.0293,2,TPC Louisiana,Charles Schwab Challenge,2026-05-28
90,"Olesen, Thorbjorn",13412,-0.326,-0.0303,1,Silverado Resort (North Course),Charles Schwab Challenge,2026-05-28
91,"Kanaya, Takumi",19729,-0.354,-0.0365,3,TPC Louisiana,Charles Schwab Challenge,2026-05-28
92,"Thomas, Justin",14139,-0.373,-0.0408,2,Quail Hollow Club,Charles Schwab Challenge,2026-05-28
93,"Yu, Kevin",17881,-0.387,-0.0438,2,Dunes Golf and Beach Club,Charles Schwab Challenge,2026-05-28
94,"Neergaard-Petersen, Rasmus",23841,-0.41,-0.049,2,TPC Louisiana,Charles Schwab Challenge,2026-05-28
95,"Highsmith, Joe",28469,-0.417,-0.0505,2,Dunes Golf and Beach Club,Charles Schwab Challenge,2026-05-28
96,"Griffin, Ben",24968,-0.426,-0.0526,3,Silverado Resort (North Course),Charles Schwab Challenge,2026-05-28
97,"Nyholm, Pontus",25475,-0.464,-0.0609,2,Dunes Golf and Beach Club,Charles Schwab Challenge,2026-05-28
98,"Hughes, Mackenzie",15556,-0.484,-0.0654,3,Silverado Resort (North Course),Charles Schwab Challenge,2026-05-28
99,"Van Rooyen, Erik",17550,-0.501,-0.0692,2,TPC Louisiana,Charles Schwab Challenge,2026-05-28
100,"Clanton, Luke",32330,-0.504,-0.0698,3,TPC Louisiana,Charles Schwab Challenge,2026-05-28
101,"Hirata, Kensei",20954,-0.526,-0.0747,2,TPC Louisiana,Charles Schwab Challenge,2026-05-28
102,"Schenk, Adam",19477,-0.55,-0.0801,3,TPC Louisiana,Charles Schwab Challenge,2026-05-28
103,"Fishburn, Patrick",25094,-0.562,-0.0827,3,Silverado Resort (North Course),Charles Schwab Challenge,2026-05-28
104,"Shipley, Neal",32055,-0.592,-0.0894,2,Dunes Golf and Beach Club,Charles Schwab Challenge,2026-05-28
105,"Matsuyama, Hideki",13562,-0.625,-0.0968,2,Albany GC,Charles Schwab Challenge,2026-05-28
106,"Streelman, Kevin",8480,-0.636,-0.0991,3,Dunes Golf and Beach Club,Charles Schwab Challenge,2026-05-28
107,"McGreevy, Max",23505,-0.658,-0.1041,3,Dunes Golf and Beach Club,Charles Schwab Challenge,2026-05-28
108,"Roy, Kevin",18424,-0.688,-0.1108,3,Dunes Golf and Beach Club,Charles Schwab Challenge,2026-05-28
109,"Parry, John",13764,-0.7,-0.1135,2,Dunes Golf and Beach Club,Charles Schwab Challenge,2026-05-28
110,"Dahmen, Joel",14509,-0.737,-0.1217,3,Silverado Resort (North Course),Charles Schwab Challenge,2026-05-28
111,"Nakajima, Keita",21074,-0.744,-0.1231,2,Dunes Golf and Beach Club,Charles Schwab Challenge,2026-05-28
112,"Theegala, Sahith",23014,-0.752,-0.125,3,Silverado Resort (North Course),Charles Schwab Challenge,2026-05-28
113,"Walker, Danny",25003,-0.757,-0.126,3,Dunes Golf and Beach Club,Charles Schwab Challenge,2026-05-28
114,"Mitchell, Keith",17365,-0.758,-0.1264,2,TPC Louisiana,Charles Schwab Challenge,2026-05-28
115,"Campbell, Brian",18628,-0.821,-0.1403,2,Quail Hollow Club,Charles Schwab Challenge,2026-05-28
