rank,player_name,dg_id,sg_ott_z,sg_arg_z,sg_putt_z,sg_total_z,tournament,as_of_date
118,"Potgieter, Aldrich",27900,0.507,0.444,-1.207,-0.833,Rocket Classic,2026-08-03
119,"Walker, Danny",25003,0.188,,,-1.065,Rocket Classic,2026-08-03
120,"Poston, J.T.",21554,2.002,-1.39,-1.738,-1.068,Rocket Classic,2026-08-03
121,"Power, Seamus",10104,-0.202,,,-1.269,Rocket Classic,2026-08-03
122,"Thomas, Justin",14139,3.542,0.465,-0.021,-1.271,Rocket Classic,2026-08-03
123,"Pan, C.T.",15475,,,,-2.387,Rocket Classic,2026-08-03
124,"Snedeker, Brandt",8820,0.136,,0.287,,Rocket Classic,2026-08-03
125,"Parry, John",13764,-0.689,,-0.223,,Rocket Classic,2026-08-03
126,"Saddier, Adrien",14792,-0.416,,-0.813,,Rocket Classic,2026-08-03
127,"Koepka, Brooks",16243,0.167,,0.367,,Rocket Classic,2026-08-03
128,"Davis, Cam",17786,-0.069,,,,Rocket Classic,2026-08-03
129,"Smalley, Alex",18474,-0.158,-0.067,1.863,,Rocket Classic,2026-08-03
130,"Rai, Aaron",18554,0.148,,1.869,,Rocket Classic,2026-08-03
131,"Smith, Jordan",18586,0.339,0.776,-2.586,,Rocket Classic,2026-08-03
132,"Schmid, Matti",20722,0.052,,1.782,,Rocket Classic,2026-08-03
133,"Penge, Marco",22465,-0.428,,-1.683,,Rocket Classic,2026-08-03
134,"Hojgaard, Rasmus",23838,-0.055,,0.106,,Rocket Classic,2026-08-03
135,"Neergaard-Petersen, Rasmus",23841,-0.048,,0.514,,Rocket Classic,2026-08-03
136,"Fitzpatrick, Alex",25362,3.18,0.429,0.303,,Rocket Classic,2026-08-03
137,"Svensson, Jesper",26850,0.359,,,,Rocket Classic,2026-08-03
138,"Castillo, Ricky",27819,0.168,0.615,0.262,,Rocket Classic,2026-08-03
139,"Collet, Tyler",28077,-0.441,,-0.323,,Rocket Classic,2026-08-03
140,"James, Ben",29827,0.114,,,,Rocket Classic,2026-08-03
141,"Hrabak, Cooper",35195,-0.611,,,,Rocket Classic,2026-08-03
